1K8yq2SwpKKgMrEpikEPrxoJ21v8UT26M3,4,2,2,0,13,13,0,31,53,18578,18575,4644,4643,0,0,6,6,1602,534,1602,1602,0.4
1EK9UieieRH5JVxfe9tsBN1g6V9imDNF8N,16,8,8,0,702,702,0,69,17,233465,233402,14591,14587,3,7,87,87,13563,904,1937,1937,0.2
17gEDMEt2GJHT6NRih8AuBuHV17y2sERWb,2,1,1,0,0,0,0,63,33,1030,1020,515,510,5,10,0,0,4,4,4,4,2.0
19DuAGkAr67XQE7FgWQGJ7ztNYQD8Cfqo6,14,7,7,0,142,142,0,161,1,190898,190878,13635,13634,1,2,20,20,13320,1024,2220,2220,0.2
125mcgHSMXKy7jrQxrdpkc6tq62qmikTZ6,32,16,16,0,6,6,0,104,102,76542,76476,2391,2389,2,3,0,0,14616,471,974,974,0.4
1NyXgGYobFRf9cqMPxYdL7W4shTq8HWkmf,142,25,25,0,37,37,0,30,145,67323,67052,474,472,1,5,1,1,4703,33,195,195,5.1
1DLAj1QZVW53apNnKRjUBtjYFrZUEjrSCY,1227,25,25,0,49594,49594,0,4,53,993343,993322,809,809,0,0,1983,1983,12801,10,533,533,16.1
1Cyqqures76asvbCQFEEV5pHuLENyTHZ1N,10,5,5,0,4,4,0,51,31,35515,36131,3551,3613,-61,3,0,0,13266,1474,3316,3316,0.1
1AtoKThPJ8L2wkQcZjbNZTJ7GbHyBy86zX,2,1,1,0,0,0,0,52,23,4857,4854,2428,2427,1,3,0,0,0,0,0,0,2.0
1N8ETh4kX1ytza4Q5d2QhUA7uf7oZFMdDX,27,13,13,1,47,47,0,105,21,130332,130212,4827,4822,4,9,3,3,2834,109,236,236,1.6
13Aok1jGUbb4S9Lac5Ht75EUcHdLA4raZ3,109,16,34,0,16,13,2,10,61,9161,9138,84,83,0,0,0,0,5666,52,377,171,3.2
1C3XwBR97JfR7KtYCxTRDoWBbS3xpodwGm,8,4,4,0,7,7,0,51,4,9332,9324,1166,1165,0,1,1,1,5493,784,1831,1831,0.2
1GVNztAbRbPDCdq76RdMFdPcx1qsYHyodu,6,3,3,0,27,27,0,71,39,28114,28107,4685,4684,1,2,9,9,3820,764,1910,1910,0.3
12nXPCbTr8Gv36AztaZqMmBx5GKHV66pnM,4,2,2,0,61,61,0,76,22,19096,19087,4774,4771,2,4,30,30,6908,2302,6908,6908,0.1
1A7qhbxZWfPBY6SuVi57tVhW9q5AniowTx,8,4,4,0,41,41,0,242,1,16640,16624,2080,2078,2,3,10,10,8449,1207,2816,2816,0.2
3DW869GWi6bYz24GegD4V7dZpqsi3BYy3U,42,21,21,0,359,359,0,17,16,165072,165080,3930,3930,0,0,17,17,19820,483,991,991,0.4
19YaCa8rXEU5WnmtY4GsC75M2voZAW4y2E,24,11,13,0,195,194,0,43,114,91470,91418,3811,3809,2,4,17,15,13180,573,1318,1098,0.3
13yLAMk2h1Zj21F5f5VJoEjyz9Ewhpp9Ek,4,2,2,0,59,59,0,25,1,1336,1366,334,341,-7,0,29,29,1239,413,1239,1239,0.5
13sZ546KiuuFAACUUNo4ABuJKN1TQdY5nG,2,1,1,0,499,499,0,35,1,12155,12155,6077,6077,0,0,499,499,43,43,43,43,2.0
17SneidRHkreBxJgZsyDJPtFcy2ukDYuK1,2,1,1,0,551,551,0,17,8,26106,26104,13053,13052,0,1,551,551,0,0,0,0,2.0
1HAh95dV43XtE8rdWhsgK8kKTHS3gLkLrY,4,2,2,0,7,7,0,101,52,15778,15731,3944,3932,11,23,3,3,2473,824,2473,2473,0.3
1LMEXgLw2gcixbn21pSHYqN4YaDtr2M7ww,16,8,8,0,27,27,0,87,25,77767,77738,4860,4858,1,3,3,3,8760,584,1251,1251,0.3
1GWDLC7Cnypv6nPn7dMSejwQnAP94PUt8f,2,1,1,0,2,2,0,101,16,1904,1863,952,931,20,40,2,2,0,0,0,0,2.0
16jXjRZgB8bj6Z3Pu3oYTgaSPAM9h2uW2G,20,10,10,0,16,16,0,94,60,143419,143165,7170,7158,12,25,1,1,2964,156,329,329,1.1
1P9KiFKXyDeFFTZHKUuJwXRMW8TEwycMZw,65,26,25,0,706,706,0,62,23,244020,237106,3754,3647,106,7,27,28,13646,213,545,568,0.8
1Ed8J5pjZS98HtbM8Ngzo1YZDMzFuMmEco,40,20,20,0,379,379,0,87,28,208018,208102,5200,5202,-2,7,18,18,5220,133,274,274,1.3
3A5vfDn8MGTvf9dmvscTb52JfmHLNLEG33,6,3,3,0,154,154,0,15,21,17571,17569,2928,2928,0,0,51,51,1571,314,785,785,0.6
1KyirmWvuhCmQ3m6xs2DntPPtZ1r3o1LAo,54,25,25,0,811,811,0,76,25,298388,298194,5525,5522,3,9,32,32,15433,291,643,643,0.6
1FvBg8dscEuKU52cJDVB8aQVGVMQ7xJrkh,2,1,1,0,0,0,0,101,20,2941,2919,1470,1459,10,21,0,0,0,0,0,0,2.0
1Gs7osttUcdgQYUrvfQ4JRdUgYJdwdB2jX,2,1,1,0,3,3,0,26,45,11094,11091,5547,5545,1,2,3,3,9,9,9,9,2.0
1CaDFWXWNtikz3nN4MgbXpEmjBHmNQN1tQ,79,26,25,0,100,100,0,139,12,108983,108825,1379,1377,2,5,3,4,3061,39,122,127,4.3
1BHxSAK2x9jBBBx7ssxk5NH8KsAWEqp9XW,2,1,1,0,49,49,0,19,10,10662,10660,5331,5330,0,1,49,49,0,0,0,0,2.0
15VhwMc6vYBztHFQwymfZsKRZw4f4gKEpc,6,3,3,0,24,24,0,84,146,49171,49120,8195,8186,8,16,8,8,12976,2595,6488,6488,0.1
1GNac74FdZVSVnfsGCvnY9eRaj7btBDmKZ,1232,25,25,0,1481,1481,0,2,19,188697,188147,153,152,0,2,59,59,578,0,24,24,357.7
1NUEhqe1t8EZEzpsDWkaiwFZufv2e1PQof,44,22,22,0,137,137,0,86,38,211332,211101,4803,4797,5,11,6,6,7395,171,352,352,1.0
1CM89QxBDWwwtswMKoPRfniM4N2KvwhaKj,113,35,19,0,137,137,0,85,4,16649,16575,147,146,0,1,3,7,8973,80,263,498,2.1
1GnCggWuS3utqp2WrVc1n9muSGLhNRgiqb,4,2,2,0,4,4,0,38,1,4358,4355,1089,1088,0,1,2,2,3136,1045,3136,3136,0.2
1D2TWqghpopivYaTybtcFvhmVhsxVDgEGw,8,4,4,0,98,98,0,63,10,28721,28716,3590,3589,0,1,24,24,4180,597,1393,1393,0.3
17edzZXdVHxg2pFeNZSbbWVuoMsuT2GAcR,2,1,1,0,1250,1250,0,121,23,121465,121461,60732,60730,1,3,1250,1250,285,285,285,285,1.2
1EBpdtQeW4PT4JYWJhRoU3dKQL514gKSX3,26,13,13,0,3,3,0,247,97,4959,4955,190,190,0,0,0,0,2301,92,191,191,1.9
1LiLdMtJJqUKrFuecVYy9KiE3GenAxyD8W,2,1,1,0,3618,3618,0,100,14,10131,10130,5065,5065,0,0,3618,3618,5,5,5,5,2.0
31n2jJUcWKUEXdtjcCmPtXZwUjkZS6oBxy,14,7,7,0,6,6,0,69,98,3043,3038,217,217,0,0,0,0,2573,197,428,428,0.9
1B9LzbsnSkzAHmym8UJzLBAjX3USdfNtFC,2,1,1,0,1,1,0,51,40,10237,10233,5118,5116,1,3,1,1,0,0,0,0,2.0
1PC3FFkdGRrfoRZDiXaqooRKoMfPxRZVys,32,16,16,0,16,16,0,74,65,81460,81389,2545,2543,2,4,1,1,14771,476,984,984,0.4
1KQVtZZyAoQu7EZKnf3EGsxkMCpC7J6WHW,82,33,24,0,13,13,0,19,306,133536,133528,1628,1628,0,0,0,0,2903,35,90,126,4.7
1PvDin9KN6rqpWgas6bwRmojDwXUvXiL2p,22,11,11,0,37,37,0,69,23,116066,115976,5275,5271,4,9,3,3,10186,485,1018,1018,0.4
1BNRxRGV7CfRwGHRkz5NFEbYeaZvT58Cxj,68,23,29,0,204,203,1,70,64,453171,453045,6664,6662,1,4,8,7,23039,343,1047,822,0.5
1FgzAvJoRsiTXJc4CEJntW2937D3r4ZN6L,6,3,3,0,0,0,0,160,52,6420,6415,1070,1069,0,1,0,0,9095,1819,4547,4547,0.1
1C1fBv6DRn4jpDpX4sg7WVicJQFEZ3M1Lr,2,1,1,0,0,0,0,51,47,24574,24569,12287,12284,2,4,0,0,0,0,0,0,2.0
1BheLCHbU5DVChcDZyNwXk49uimsY22a8D,30,15,15,0,127,127,0,71,30,133869,133776,4462,4459,3,5,8,8,9102,313,650,650,0.6
1HAn4o9XiVsub673KnNqwM17jb2nKg1KXw,4,2,2,0,36,36,0,29,45,76072,76063,19018,19015,2,2,18,18,2238,746,2238,2238,0.3
1JobugvyYigmzV8vpoJExsQWcqikkN87iY,52,26,24,0,21,21,0,281,1,16637,16625,319,319,0,0,0,0,15510,304,620,674,0.6
1Q3EZdvEbnfJymLPeLZKzfq8kUNoeDvVYU,13,3,10,0,2,2,0,25,74,13461,13435,1035,1033,1,7,0,0,6769,564,3384,752,0.3
14qdZQYtvDpUVfizC8UjDvgBNK354V8h9r,68,25,25,0,1280,1280,0,103,138,196514,215801,2889,3173,-283,4,51,51,5816,86,242,242,2.0
1FytYBv5ebS7krHfbudhyWrUBvHdjZYiHs,8,4,4,0,9,9,0,24,14,14229,14223,1778,1777,0,1,2,2,2665,380,888,888,0.5
1BjHTfaaSy6BKHAgq2uN89YqgW8AttLkD2,530,26,26,0,30441,30441,0,2,0,95537,95519,180,180,0,0,1170,1170,7640,14,305,305,11.7
1Nr8qxbeFejUGEV7MdV56iNWGY44XdE4s7,26,13,13,0,24,24,0,33,1,434363,434324,16706,16704,1,2,1,1,7454,298,621,621,0.6
15djwrX57ub1uQ3MeAX9pKZzawwMynWD9S,8,3,3,2,14,14,0,19,3,30277,30275,3784,3784,0,0,4,4,2614,373,1307,1307,0.5
32K87SN5PEX7WCfVC8emDnMzfetfwGykZG,2,1,1,0,226,226,0,15,94,28027,28021,14013,14010,3,3,226,226,0,0,0,0,2.0
15XAHfvbFdrQ2D4koiTAqHzt2bW2t3tgNY,2,1,1,0,1,1,0,51,11,1656,1653,828,826,1,2,1,1,0,0,0,0,2.0
39ypsJeW34CdPazFd6yvUWZKiAiMZ2sKrC,14,7,7,0,8,8,0,79,87,22670,22669,1619,1619,0,0,1,1,2215,170,369,369,1.1
19gDi8aACRN3m16DP5JnbnEHRvtKzwjwyR,10,5,5,0,24,24,0,101,36,31042,30896,3104,3089,14,29,4,4,2544,282,636,636,0.7
1PHrSxPgdaKVwYL3craQ45UANxZ7eVBohY,18,9,9,0,24,24,0,73,39,123274,123204,6848,6844,3,7,2,2,5633,331,704,704,0.5
1SUU39eXcyGQ7uBW2QY3eSCdzBNkrfndH,2,1,1,0,0,0,0,51,8,12063,12058,6031,6029,2,4,0,0,0,0,0,0,2.0
1KHfFifJfKKV4XPyraj4kNPWXUwh9BiNt6,63,26,25,0,834,834,0,53,17,250391,251424,3974,3990,-16,7,32,33,24788,399,991,1032,0.4
1Ekpz39CCyjRt1jWxbXBkSdy5Abaos4M8f,8,4,4,0,19,19,0,26,8,6023,6022,752,752,0,0,4,4,2449,349,816,816,0.5
193yTKQxysCkJvQ8YsTMyW4Mfp3egFvxyd,51,3,30,18,4,3,1,6,112,64458,64419,1263,1263,0,2,1,0,13058,261,6529,450,0.7
1EKw3CYgZ2BKr6KqXkv5YYeXDmyjbAUaLV,12,6,6,0,2,2,0,84,34,63524,63486,5293,5290,3,6,0,0,3864,351,772,772,0.5
1DdpsydCPMuEvWxCnQuTM9Rb6UYUQVr2Ji,714,26,25,0,8702,8702,0,4,4,1164426,1164266,1630,1630,0,5,334,348,14582,20,583,607,8.2
16nMQYfc77hpFSjV1WdxGZMESpgSJXpWMV,2,1,1,0,1,1,0,101,65,16064,16015,8032,8007,24,47,1,1,0,0,0,0,2.0
15Eq6bug9LNUWz8sCMsRrZJMu284UGjRgx,75,28,27,0,109,109,0,120,46,54504,54407,726,725,1,2,3,4,14824,200,549,570,0.8
1LBRzkFWSR5jrCzm1LDmoVHpkp6r7HwW38,16,8,8,0,155,155,0,10,9,22904,22896,1431,1431,0,0,19,19,19849,1323,2835,2835,0.1
33r57aomsyYs5WgCrf6Hqiwm74WmbWTfhj,54,25,25,0,12806,12806,0,11,23,447405,445334,8285,8246,38,0,512,512,24602,464,1025,1025,0.4
